,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
2,.,0.095,0.017,0.021,0.038,0.031,0.009,0.019,0.029,0.012,0.066,0.127,0.036,0.089,0.227,0.096,0.087
2,A1_1,0.106,0.016,0.013,0.013,0.041,0.176,0.399,0.01,0.009,0.009,0.008,0.013,0.01,0.088,0.04,0.048
2,A1_2,0.114,0.021,0.011,0.01,0.064,0.118,0.336,0.016,0.013,0.014,0.012,0.016,0.018,0.087,0.079,0.072
2,A1_3,0.117,0.023,0.025,0.021,0.04,0.226,0.388,0.011,0.006,0.003,0.004,0.009,0.006,0.04,0.04,0.039
2,B1_1,0.094,0.025,0.188,0.38,0.009,0.007,0.005,0.02,0.003,0.009,0.052,0.01,0.019,0.117,0.034,0.027
2,B1_2,0.245,0.053,0.135,0.166,0.02,0.029,0.016,0.103,0.013,0.038,0.023,0.008,0.023,0.043,0.049,0.035
2,B1_3,0.145,0.037,0.195,0.314,0.012,0.018,0.012,0.032,0.005,0.014,0.029,0.007,0.014,0.109,0.032,0.025
2,A2_1,0.086,0.007,0.009,0.007,0.016,0.012,0.011,0.01,0.021,0.032,0.158,0.21,0.085,0.04,0.079,0.216
2,A2_2,0.049,0.006,0.008,0.014,0.012,0.002,0.002,0.011,0.007,0.022,0.387,0.096,0.172,0.05,0.062,0.1
2,A2_3,0.313,0.025,0.034,0.017,0.015,0.08,0.023,0.033,0.05,0.034,0.063,0.071,0.035,0.02,0.047,0.142
2,B2_1,0.013,0.001,0.0,0.0,0.002,0.001,0.001,0.023,0.02,0.893,0.003,0.002,0.007,0.015,0.01,0.009
2,B2_2,0.148,0.017,0.011,0.008,0.014,0.011,0.007,0.102,0.061,0.406,0.026,0.014,0.033,0.029,0.052,0.059
2,B2_3,0.296,0.035,0.022,0.008,0.016,0.064,0.022,0.14,0.088,0.184,0.007,0.007,0.011,0.012,0.04,0.048
2,y1,0.333,0.037,0.036,0.02,0.022,0.092,0.037,0.081,0.055,0.076,0.02,0.019,0.022,0.022,0.051,0.078
2,y2,0.35,0.062,0.105,0.074,0.02,0.07,0.027,0.096,0.023,0.029,0.016,0.008,0.015,0.024,0.04,0.041
2,y3,0.329,0.03,0.035,0.016,0.011,0.047,0.011,0.097,0.083,0.157,0.023,0.018,0.019,0.015,0.037,0.07
4,.,0.186,0.017,0.023,0.033,0.022,0.05,0.028,0.025,0.034,0.021,0.021,0.043,0.035,0.101,0.235,0.127
4,A1_1,0.265,0.009,0.033,0.009,0.028,0.111,0.214,0.01,0.014,0.021,0.03,0.052,0.029,0.051,0.083,0.041
4,A1_2,0.307,0.009,0.021,0.009,0.038,0.073,0.286,0.017,0.012,0.057,0.018,0.022,0.011,0.037,0.048,0.034
4,A1_3,0.476,0.015,0.044,0.015,0.034,0.031,0.137,0.019,0.011,0.07,0.032,0.023,0.013,0.032,0.031,0.018
4,B1_1,0.424,0.021,0.32,0.055,0.015,0.016,0.014,0.009,0.004,0.018,0.014,0.01,0.005,0.022,0.043,0.011
4,B1_2,0.389,0.016,0.078,0.144,0.025,0.012,0.01,0.019,0.011,0.011,0.025,0.02,0.014,0.053,0.128,0.045
4,B1_3,0.394,0.026,0.379,0.029,0.012,0.016,0.016,0.008,0.005,0.029,0.016,0.01,0.006,0.019,0.03,0.007
4,A2_1,0.386,0.034,0.028,0.024,0.018,0.018,0.024,0.028,0.034,0.042,0.066,0.07,0.061,0.072,0.057,0.038
4,A2_2,0.206,0.015,0.009,0.01,0.007,0.023,0.011,0.011,0.021,0.007,0.096,0.139,0.291,0.069,0.046,0.04
4,A2_3,0.245,0.029,0.018,0.022,0.018,0.041,0.024,0.034,0.041,0.038,0.036,0.062,0.073,0.104,0.119,0.096
4,B2_1,0.209,0.032,0.053,0.023,0.021,0.04,0.046,0.034,0.062,0.112,0.017,0.022,0.016,0.074,0.174,0.065
4,B2_2,0.159,0.046,0.016,0.008,0.019,0.016,0.023,0.064,0.027,0.496,0.007,0.005,0.008,0.041,0.03,0.034
4,B2_3,0.108,0.015,0.008,0.022,0.023,0.026,0.028,0.038,0.087,0.045,0.019,0.029,0.03,0.11,0.261,0.151
4,y1,0.619,0.021,0.048,0.026,0.017,0.015,0.022,0.016,0.006,0.023,0.055,0.034,0.035,0.031,0.018,0.014
4,y2,0.415,0.029,0.029,0.014,0.012,0.03,0.041,0.023,0.031,0.05,0.064,0.074,0.067,0.053,0.041,0.028
4,y3,0.459,0.023,0.029,0.014,0.021,0.024,0.056,0.021,0.02,0.049,0.072,0.055,0.054,0.049,0.031,0.023
6,.,0.147,0.015,0.036,0.035,0.012,0.065,0.067,0.049,0.141,0.061,0.022,0.025,0.049,0.047,0.08,0.147
6,A1_1,0.128,0.003,0.004,0.002,0.178,0.058,0.52,0.006,0.004,0.003,0.007,0.014,0.004,0.02,0.025,0.023
