,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
6,B2_3,0.044,0.007,0.005,0.006,0.009,0.004,0.009,0.619,0.079,0.167,0.003,0.004,0.002,0.021,0.011,0.011
6,y1,0.382,0.026,0.046,0.047,0.041,0.103,0.067,0.015,0.022,0.023,0.014,0.037,0.059,0.033,0.031,0.053
6,y2,0.24,0.033,0.007,0.218,0.014,0.013,0.148,0.011,0.012,0.01,0.102,0.063,0.02,0.049,0.046,0.014
6,y3,0.621,0.026,0.01,0.032,0.02,0.049,0.052,0.033,0.019,0.016,0.019,0.024,0.019,0.021,0.021,0.018
8,.,0.055,0.013,0.021,0.011,0.028,0.025,0.025,0.071,0.045,0.041,0.027,0.01,0.016,0.115,0.271,0.226
8,A1_1,0.125,0.019,0.029,0.007,0.05,0.226,0.148,0.03,0.033,0.021,0.014,0.004,0.012,0.036,0.163,0.084
8,A1_2,0.115,0.008,0.018,0.005,0.067,0.115,0.068,0.017,0.014,0.019,0.024,0.015,0.024,0.076,0.34,0.075
8,A1_3,0.308,0.024,0.029,0.017,0.028,0.051,0.032,0.033,0.02,0.036,0.033,0.033,0.036,0.109,0.116,0.095
8,B1_1,0.317,0.054,0.056,0.03,0.026,0.036,0.028,0.016,0.012,0.011,0.051,0.011,0.03,0.041,0.195,0.086
8,B1_2,0.104,0.072,0.063,0.032,0.013,0.017,0.021,0.073,0.039,0.026,0.025,0.004,0.011,0.067,0.141,0.293
8,B1_3,0.408,0.101,0.067,0.045,0.011,0.024,0.018,0.033,0.011,0.027,0.012,0.013,0.021,0.047,0.06,0.102
8,A2_1,0.197,0.008,0.003,0.006,0.014,0.014,0.008,0.01,0.006,0.014,0.137,0.097,0.267,0.067,0.116,0.036
8,A2_2,0.243,0.021,0.004,0.009,0.007,0.01,0.007,0.015,0.011,0.012,0.213,0.049,0.262,0.037,0.062,0.038
8,A2_3,0.138,0.012,0.006,0.009,0.012,0.01,0.007,0.018,0.015,0.012,0.282,0.042,0.153,0.073,0.141,0.069
8,B2_1,0.17,0.017,0.017,0.023,0.023,0.02,0.021,0.126,0.07,0.119,0.027,0.032,0.024,0.109,0.099,0.104
8,B2_2,0.058,0.016,0.016,0.024,0.008,0.01,0.015,0.32,0.161,0.195,0.004,0.005,0.003,0.043,0.025,0.097
8,B2_3,0.036,0.01,0.012,0.015,0.015,0.013,0.016,0.208,0.155,0.097,0.019,0.007,0.01,0.077,0.101,0.209
8,y1,0.182,0.044,0.026,0.034,0.012,0.021,0.027,0.201,0.145,0.103,0.019,0.008,0.009,0.042,0.035,0.092
8,y2,0.278,0.019,0.027,0.026,0.033,0.063,0.046,0.069,0.088,0.059,0.04,0.018,0.025,0.051,0.086,0.073
8,y3,0.57,0.038,0.016,0.038,0.008,0.014,0.012,0.054,0.035,0.057,0.03,0.029,0.03,0.028,0.017,0.025
10,.,0.134,0.072,0.043,0.019,0.019,0.022,0.026,0.082,0.058,0.062,0.027,0.025,0.062,0.067,0.197,0.085
10,A1_1,0.126,0.008,0.009,0.011,0.102,0.315,0.072,0.017,0.01,0.02,0.021,0.01,0.105,0.07,0.052,0.052
10,A1_2,0.066,0.013,0.015,0.005,0.327,0.21,0.176,0.014,0.007,0.022,0.009,0.004,0.029,0.033,0.037,0.036
10,A1_3,0.127,0.019,0.013,0.014,0.127,0.249,0.106,0.019,0.014,0.027,0.021,0.011,0.078,0.068,0.054,0.055
10,B1_1,0.321,0.05,0.047,0.279,0.012,0.025,0.013,0.01,0.008,0.023,0.005,0.019,0.029,0.08,0.037,0.042
10,B1_2,0.458,0.036,0.046,0.189,0.012,0.023,0.016,0.012,0.009,0.025,0.006,0.024,0.017,0.058,0.03,0.038
10,B1_3,0.495,0.027,0.089,0.089,0.012,0.014,0.015,0.016,0.006,0.023,0.009,0.043,0.016,0.05,0.048,0.05
10,A2_1,0.067,0.034,0.02,0.007,0.015,0.063,0.028,0.019,0.008,0.011,0.058,0.028,0.433,0.05,0.129,0.029
10,A2_2,0.261,0.032,0.02,0.035,0.014,0.09,0.03,0.018,0.012,0.016,0.048,0.045,0.2,0.073,0.067,0.039
10,A2_3,0.447,0.017,0.009,0.012,0.005,0.032,0.023,0.037,0.037,0.02,0.101,0.086,0.037,0.041,0.039,0.057
