,threshold,target1,target2,category1,category2,target1_index,target2_index,score,guess,actual,correct,sd_result
1894,0.75,A2_3,A2_3,A2,A2,6,6,1.0,1,1,1,hit
1895,0.75,A2_3,B1_1,A2,B1,6,7,-0.49,0,0,1,cr
1896,0.75,A2_3,B1_2,A2,B1,6,8,-0.12,0,0,1,cr
1897,0.75,A2_3,B1_3,A2,B1,6,9,0.14,0,0,1,cr
1898,0.75,A2_3,B2_1,A2,B2,6,10,0.03,0,0,1,cr
1899,0.75,A2_3,B2_2,A2,B2,6,11,0.34,0,0,1,cr
1900,0.75,A2_3,B2_3,A2,B2,6,12,0.46,0,0,1,cr
1901,0.75,A2_3,y1,A2,y,6,13,0.03,0,0,1,cr
1902,0.75,A2_3,y2,A2,y,6,14,0.36,0,0,1,cr
1903,0.75,A2_3,y3,A2,y,6,15,0.21,0,0,1,cr
1904,0.75,B1_1,.,B1,.,7,0,0.07,0,0,1,cr
1905,0.75,B1_1,A1_1,B1,A1,7,1,0.34,0,0,1,cr
1906,0.75,B1_1,A1_2,B1,A1,7,2,-0.06,0,0,1,cr
1907,0.75,B1_1,A1_3,B1,A1,7,3,-0.06,0,0,1,cr
1908,0.75,B1_1,A2_1,B1,A2,7,4,0.11,0,0,1,cr
1909,0.75,B1_1,A2_2,B1,A2,7,5,0.05,0,0,1,cr
1910,0.75,B1_1,A2_3,B1,A2,7,6,-0.49,0,0,1,cr
1911,0.75,B1_1,B1_1,B1,B1,7,7,1.0,1,1,1,hit
1912,0.75,B1_1,B1_2,B1,B1,7,8,0.49,0,1,0,miss
1913,0.75,B1_1,B1_3,B1,B1,7,9,-0.17,0,1,0,miss
1914,0.75,B1_1,B2_1,B1,B2,7,10,0.39,0,0,1,cr
1915,0.75,B1_1,B2_2,B1,B2,7,11,-0.16,0,0,1,cr
1916,0.75,B1_1,B2_3,B1,B2,7,12,0.26,0,0,1,cr
1917,0.75,B1_1,y1,B1,y,7,13,-0.57,0,0,1,cr
1918,0.75,B1_1,y2,B1,y,7,14,-0.55,0,0,1,cr
1919,0.75,B1_1,y3,B1,y,7,15,-0.57,0,0,1,cr
1920,0.75,B1_2,.,B1,.,8,0,0.14,0,0,1,cr
1921,0.75,B1_2,A1_1,B1,A1,8,1,0.35,0,0,1,cr
1922,0.75,B1_2,A1_2,B1,A1,8,2,0.43,0,0,1,cr
1923,0.75,B1_2,A1_3,B1,A1,8,3,0.02,0,0,1,cr
1924,0.75,B1_2,A2_1,B1,A2,8,4,-0.27,0,0,1,cr
1925,0.75,B1_2,A2_2,B1,A2,8,5,0.36,0,0,1,cr
1926,0.75,B1_2,A2_3,B1,A2,8,6,-0.12,0,0,1,cr
1927,0.75,B1_2,B1_1,B1,B1,8,7,0.49,0,1,0,miss
1928,0.75,B1_2,B1_2,B1,B1,8,8,1.0,1,1,1,hit
1929,0.75,B1_2,B1_3,B1,B1,8,9,0.35,0,1,0,miss
1930,0.75,B1_2,B2_1,B1,B2,8,10,-0.32,0,0,1,cr
1931,0.75,B1_2,B2_2,B1,B2,8,11,-0.18,0,0,1,cr
1932,0.75,B1_2,B2_3,B1,B2,8,12,0.29,0,0,1,cr
1933,0.75,B1_2,y1,B1,y,8,13,-0.7,0,0,1,cr
1934,0.75,B1_2,y2,B1,y,8,14,-0.72,0,0,1,cr
1935,0.75,B1_2,y3,B1,y,8,15,-0.68,0,0,1,cr
1936,0.75,B1_3,.,B1,.,9,0,-0.23,0,0,1,cr
1937,0.75,B1_3,A1_1,B1,A1,9,1,0.08,0,0,1,cr
