,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
0,.,1.0,0.215,-0.013,-0.181,0.193,0.106,0.052,-0.219,-0.165,0.126,0.218,-0.003,0.155,0.063,-0.007,0.075
0,A1_1,0.215,1.0,-0.256,0.268,0.285,0.024,0.183,-0.092,0.206,0.241,0.244,-0.486,0.296,-0.021,-0.197,0.073
0,A1_2,-0.013,-0.256,1.0,0.041,-0.092,-0.178,-0.154,-0.045,-0.359,-0.105,-0.096,0.114,-0.074,-0.035,0.107,-0.264
0,A1_3,-0.181,0.268,0.041,1.0,-0.121,-0.179,0.212,-0.217,0.136,0.18,0.002,0.114,0.084,0.086,-0.298,0.071
0,B1_1,0.193,0.285,-0.092,-0.121,1.0,0.194,-0.106,-0.041,0.041,-0.054,0.232,-0.243,-0.308,-0.04,-0.027,0.006
0,B1_2,0.106,0.024,-0.178,-0.179,0.194,1.0,0.386,-0.14,-0.115,-0.292,-0.011,-0.107,-0.278,-0.09,0.49,0.139
0,B1_3,0.052,0.183,-0.154,0.212,-0.106,0.386,1.0,0.373,0.006,0.322,0.215,-0.03,0.251,0.067,0.322,0.162
0,A2_1,-0.219,-0.092,-0.045,-0.217,-0.041,-0.14,0.373,1.0,-0.199,0.135,-0.056,-0.124,0.201,0.119,0.068,0.005
0,A2_2,-0.165,0.206,-0.359,0.136,0.041,-0.115,0.006,-0.199,1.0,0.115,0.178,-0.162,-0.007,0.113,-0.058,0.034
0,A2_3,0.126,0.241,-0.105,0.18,-0.054,-0.292,0.322,0.135,0.115,1.0,0.08,0.11,0.281,0.102,-0.118,0.026
0,B2_1,0.218,0.244,-0.096,0.002,0.232,-0.011,0.215,-0.056,0.178,0.08,1.0,-0.261,0.01,-0.047,-0.075,-0.025
0,B2_2,-0.003,-0.486,0.114,0.114,-0.243,-0.107,-0.03,-0.124,-0.162,0.11,-0.261,1.0,0.062,0.258,-0.022,0.319
0,B2_3,0.155,0.296,-0.074,0.084,-0.308,-0.278,0.251,0.201,-0.007,0.281,0.01,0.062,1.0,0.091,-0.285,0.17
0,y1,0.063,-0.021,-0.035,0.086,-0.04,-0.09,0.067,0.119,0.113,0.102,-0.047,0.258,0.091,1.0,-0.093,0.225
0,y2,-0.007,-0.197,0.107,-0.298,-0.027,0.49,0.322,0.068,-0.058,-0.118,-0.075,-0.022,-0.285,-0.093,1.0,-0.199
0,y3,0.075,0.073,-0.264,0.071,0.006,0.139,0.162,0.005,0.034,0.026,-0.025,0.319,0.17,0.225,-0.199,1.0
500,.,1.0,0.099,-0.115,-0.292,0.076,0.057,-0.056,-0.194,-0.241,0.069,0.038,0.033,0.162,-0.005,0.164,-0.076
500,A1_1,0.099,1.0,-0.193,0.234,0.271,-0.04,0.156,-0.047,0.24,0.325,0.245,-0.505,0.304,-0.059,-0.103,0.034
500,A1_2,-0.115,-0.193,1.0,0.132,-0.104,-0.161,-0.128,0.012,-0.254,-0.032,-0.069,0.107,-0.107,0.012,0.112,-0.3
500,A1_3,-0.292,0.234,0.132,1.0,-0.134,-0.23,0.207,-0.187,0.18,0.263,0.022,0.119,0.099,0.008,-0.182,-0.03
500,B1_1,0.076,0.271,-0.104,-0.134,1.0,0.225,-0.07,-0.036,0.035,-0.052,0.266,-0.217,-0.288,-0.08,0.01,0.001
500,B1_2,0.057,-0.04,-0.161,-0.23,0.225,1.0,0.388,-0.22,-0.153,-0.33,0.032,-0.089,-0.29,0.001,0.471,0.278
500,B1_3,-0.056,0.156,-0.128,0.207,-0.07,0.388,1.0,0.333,-0.013,0.29,0.24,-0.015,0.252,0.215,0.227,0.326
500,A2_1,-0.194,-0.047,0.012,-0.187,-0.036,-0.22,0.333,1.0,-0.142,0.217,-0.042,-0.145,0.177,0.234,-0.131,0.175
500,A2_2,-0.241,0.24,-0.254,0.18,0.035,-0.153,-0.013,-0.142,1.0,0.167,0.175,-0.162,0.008,0.004,-0.047,0.062
500,A2_3,0.069,0.325,-0.032,0.263,-0.052,-0.33,0.29,0.217,0.167,1.0,0.045,0.086,0.294,0.067,-0.158,-0.004
500,B2_1,0.038,0.245,-0.069,0.022,0.266,0.032,0.24,-0.042,0.175,0.045,1.0,-0.232,0.041,-0.0,-0.113,-0.148
500,B2_2,0.033,-0.505,0.107,0.119,-0.217,-0.089,-0.015,-0.145,-0.162,0.086,-0.232,1.0,0.065,0.247,0.063,0.224
500,B2_3,0.162,0.304,-0.107,0.099,-0.288,-0.29,0.252,0.177,0.008,0.294,0.041,0.065,1.0,0.118,-0.35,0.219
500,y1,-0.005,-0.059,0.012,0.008,-0.08,0.001,0.215,0.234,0.004,0.067,-0.0,0.247,0.118,1.0,0.153,0.558
500,y2,0.164,-0.103,0.112,-0.182,0.01,0.471,0.227,-0.131,-0.047,-0.158,-0.113,0.063,-0.35,0.153,1.0,0.153
500,y3,-0.076,0.034,-0.3,-0.03,0.001,0.278,0.326,0.175,0.062,-0.004,-0.148,0.224,0.219,0.558,0.153,1.0
1000,.,1.0,0.086,-0.156,-0.299,0.06,0.045,-0.047,-0.201,-0.244,0.062,0.011,0.048,0.185,-0.059,0.161,-0.089
