,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
0,.,1.0,0.379,0.502,0.941,0.69,0.829,0.218,0.461,0.313,0.407,0.2,0.531,0.501,0.806,0.842,0.914
0,A1_1,0.379,1.0,0.778,0.41,0.608,0.608,0.734,0.846,0.62,0.856,0.86,0.745,0.858,0.508,0.515,0.334
0,A1_2,0.502,0.778,1.0,0.435,0.791,0.8,0.676,0.669,0.648,0.845,0.777,0.825,0.92,0.508,0.462,0.37
0,A1_3,0.941,0.41,0.435,1.0,0.668,0.806,0.333,0.54,0.429,0.375,0.204,0.505,0.459,0.879,0.904,0.978
0,B1_1,0.69,0.608,0.791,0.668,1.0,0.939,0.709,0.797,0.768,0.604,0.708,0.937,0.83,0.729,0.734,0.623
0,B1_2,0.829,0.608,0.8,0.806,0.939,1.0,0.642,0.692,0.692,0.668,0.597,0.815,0.814,0.851,0.773,0.775
0,B1_3,0.218,0.734,0.676,0.333,0.709,0.642,1.0,0.785,0.941,0.713,0.769,0.73,0.757,0.466,0.423,0.248
0,A2_1,0.461,0.846,0.669,0.54,0.797,0.692,0.785,1.0,0.783,0.687,0.795,0.902,0.753,0.557,0.735,0.472
0,A2_2,0.313,0.62,0.648,0.429,0.768,0.692,0.941,0.783,1.0,0.609,0.644,0.748,0.681,0.497,0.576,0.367
0,A2_3,0.407,0.856,0.845,0.375,0.604,0.668,0.713,0.687,0.609,1.0,0.719,0.692,0.803,0.404,0.42,0.307
0,B2_1,0.2,0.86,0.777,0.204,0.708,0.597,0.769,0.795,0.644,0.719,1.0,0.825,0.914,0.458,0.331,0.159
0,B2_2,0.531,0.745,0.825,0.505,0.937,0.815,0.73,0.902,0.748,0.692,0.825,1.0,0.853,0.55,0.662,0.44
0,B2_3,0.501,0.858,0.92,0.459,0.83,0.814,0.757,0.753,0.681,0.803,0.914,0.853,1.0,0.643,0.499,0.403
0,y1,0.806,0.508,0.508,0.879,0.729,0.851,0.466,0.557,0.497,0.404,0.458,0.55,0.643,1.0,0.776,0.897
0,y2,0.842,0.515,0.462,0.904,0.734,0.773,0.423,0.735,0.576,0.42,0.331,0.662,0.499,0.776,1.0,0.892
0,y3,0.914,0.334,0.37,0.978,0.623,0.775,0.248,0.472,0.367,0.307,0.159,0.44,0.403,0.897,0.892,1.0
500,.,1.0,-0.166,-0.142,-0.119,0.032,0.004,-0.247,-0.175,-0.117,-0.009,-0.296,-0.096,-0.166,0.036,-0.067,0.146
500,A1_1,-0.166,1.0,0.971,0.982,-0.134,-0.098,0.001,0.997,0.915,0.942,0.136,-0.197,0.214,0.056,0.072,0.029
500,A1_2,-0.142,0.971,1.0,0.977,-0.012,0.019,0.125,0.978,0.973,0.946,0.228,-0.139,0.348,-0.004,0.04,-0.004
500,A1_3,-0.119,0.982,0.977,1.0,-0.172,-0.133,-0.027,0.991,0.936,0.978,0.085,-0.258,0.213,-0.046,-0.004,-0.031
500,B1_1,0.032,-0.134,-0.012,-0.172,1.0,0.975,0.877,-0.142,-0.005,-0.242,0.881,0.884,0.836,0.172,0.28,0.174
500,B1_2,0.004,-0.098,0.019,-0.133,0.975,1.0,0.906,-0.107,0.022,-0.206,0.859,0.859,0.866,0.17,0.317,0.202
500,B1_3,-0.247,0.001,0.125,-0.027,0.877,0.906,1.0,-0.005,0.161,-0.097,0.927,0.821,0.89,-0.055,0.118,-0.041
500,A2_1,-0.175,0.997,0.978,0.991,-0.142,-0.107,-0.005,1.0,0.926,0.95,0.126,-0.214,0.221,0.027,0.063,0.014
500,A2_2,-0.117,0.915,0.973,0.936,-0.005,0.022,0.161,0.926,1.0,0.927,0.209,-0.181,0.353,-0.062,-0.041,-0.062
500,A2_3,-0.009,0.942,0.946,0.978,-0.242,-0.206,-0.097,0.95,0.927,1.0,-0.01,-0.356,0.144,-0.103,-0.113,-0.076
500,B2_1,-0.296,0.136,0.228,0.085,0.881,0.859,0.927,0.126,0.209,-0.01,1.0,0.844,0.898,-0.018,0.12,-0.053
500,B2_2,-0.096,-0.197,-0.139,-0.258,0.884,0.859,0.821,-0.214,-0.181,-0.356,0.844,1.0,0.643,0.214,0.377,0.203
500,B2_3,-0.166,0.214,0.348,0.213,0.836,0.866,0.89,0.221,0.353,0.144,0.898,0.643,1.0,-0.16,0.007,-0.123
500,y1,0.036,0.056,-0.004,-0.046,0.172,0.17,-0.055,0.027,-0.062,-0.103,-0.018,0.214,-0.16,1.0,0.914,0.954
500,y2,-0.067,0.072,0.04,-0.004,0.28,0.317,0.118,0.063,-0.041,-0.113,0.12,0.377,0.007,0.914,1.0,0.936
500,y3,0.146,0.029,-0.004,-0.031,0.174,0.202,-0.041,0.014,-0.062,-0.076,-0.053,0.203,-0.123,0.954,0.936,1.0
1000,.,1.0,-0.135,-0.143,-0.132,-0.018,-0.05,-0.276,-0.149,-0.12,-0.122,-0.282,-0.113,-0.221,-0.151,-0.314,-0.113
1000,A1_1,-0.135,1.0,0.985,0.99,-0.295,-0.262,-0.217,0.998,0.97,0.99,-0.056,-0.302,-0.013,-0.023,-0.075,-0.029
1000,A1_2,-0.143,0.985,1.0,0.994,-0.253,-0.224,-0.175,0.988,0.993,0.992,-0.017,-0.285,0.05,-0.081,-0.096,-0.066
1000,A1_3,-0.132,0.99,0.994,1.0,-0.324,-0.293,-0.238,0.995,0.983,0.999,-0.082,-0.334,-0.02,-0.08,-0.103,-0.071
1000,B1_1,-0.018,-0.295,-0.253,-0.324,1.0,0.982,0.888,-0.327,-0.261,-0.341,0.903,0.924,0.882,-0.101,0.115,-0.008
1000,B1_2,-0.05,-0.262,-0.224,-0.293,0.982,1.0,0.905,-0.294,-0.231,-0.309,0.892,0.904,0.901,-0.092,0.158,0.006
1000,B1_3,-0.276,-0.217,-0.175,-0.238,0.888,0.905,1.0,-0.246,-0.175,-0.254,0.94,0.925,0.895,-0.177,0.114,-0.114
1000,A2_1,-0.149,0.998,0.988,0.995,-0.327,-0.294,-0.246,1.0,0.973,0.994,-0.085,-0.335,-0.034,-0.038,-0.076,-0.041
1000,A2_2,-0.12,0.97,0.993,0.983,-0.261,-0.231,-0.175,0.973,1.0,0.981,-0.03,-0.313,0.048,-0.114,-0.148,-0.106
1000,A2_3,-0.122,0.99,0.992,0.999,-0.341,-0.309,-0.254,0.994,0.981,1.0,-0.097,-0.35,-0.037,-0.081,-0.116,-0.073
1000,B2_1,-0.282,-0.056,-0.017,-0.082,0.903,0.892,0.94,-0.085,-0.03,-0.097,1.0,0.893,0.956,-0.283,-0.026,-0.217
1000,B2_2,-0.113,-0.302,-0.285,-0.334,0.924,0.904,0.925,-0.335,-0.313,-0.35,0.893,1.0,0.794,-0.042,0.222,0.039
