,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
0,.,0.048,0.071,0.051,0.084,0.067,0.057,0.043,0.037,0.058,0.066,0.088,0.041,0.037,0.054,0.079,0.12
0,A1_1,0.084,0.025,0.052,0.079,0.119,0.048,0.063,0.082,0.047,0.063,0.064,0.038,0.021,0.056,0.132,0.028
0,A1_2,0.024,0.135,0.078,0.117,0.018,0.087,0.026,0.023,0.046,0.073,0.081,0.016,0.021,0.062,0.141,0.051
0,A1_3,0.078,0.048,0.059,0.088,0.098,0.027,0.045,0.06,0.094,0.06,0.037,0.024,0.042,0.051,0.166,0.022
0,B1_1,0.021,0.062,0.053,0.066,0.047,0.061,0.039,0.032,0.061,0.078,0.094,0.034,0.016,0.067,0.196,0.073
0,B1_2,0.042,0.055,0.04,0.082,0.092,0.015,0.083,0.107,0.02,0.071,0.05,0.054,0.036,0.057,0.171,0.025
0,B1_3,0.01,0.077,0.021,0.042,0.06,0.031,0.047,0.023,0.072,0.068,0.053,0.048,0.019,0.021,0.297,0.109
0,A2_1,0.016,0.027,0.05,0.065,0.159,0.019,0.115,0.064,0.029,0.108,0.06,0.024,0.028,0.054,0.163,0.018
0,A2_2,0.014,0.023,0.007,0.042,0.08,0.028,0.052,0.016,0.108,0.122,0.024,0.067,0.01,0.027,0.235,0.146
0,A2_3,0.01,0.005,0.099,0.039,0.082,0.019,0.273,0.052,0.077,0.043,0.02,0.022,0.037,0.019,0.161,0.042
0,B2_1,0.011,0.02,0.022,0.036,0.127,0.05,0.054,0.016,0.203,0.058,0.026,0.065,0.052,0.014,0.097,0.149
0,B2_2,0.016,0.015,0.291,0.045,0.059,0.011,0.1,0.045,0.046,0.019,0.028,0.018,0.076,0.061,0.08,0.09
0,B2_3,0.018,0.036,0.02,0.051,0.056,0.064,0.044,0.019,0.156,0.111,0.041,0.067,0.023,0.033,0.128,0.136
0,y1,0.063,0.016,0.279,0.063,0.116,0.015,0.044,0.071,0.031,0.005,0.024,0.031,0.112,0.059,0.027,0.044
0,y2,0.021,0.035,0.018,0.031,0.051,0.027,0.029,0.034,0.085,0.206,0.047,0.079,0.035,0.037,0.212,0.053
0,y3,0.032,0.034,0.216,0.083,0.115,0.028,0.077,0.059,0.043,0.021,0.038,0.034,0.031,0.043,0.055,0.092
1,.,0.075,0.073,0.054,0.082,0.06,0.057,0.04,0.04,0.054,0.059,0.079,0.039,0.04,0.06,0.067,0.121
1,A1_1,0.199,0.022,0.041,0.063,0.081,0.044,0.05,0.069,0.043,0.056,0.051,0.033,0.019,0.068,0.124,0.038
1,A1_2,0.046,0.128,0.103,0.111,0.018,0.125,0.029,0.033,0.04,0.062,0.078,0.019,0.025,0.067,0.073,0.044
1,A1_3,0.388,0.041,0.032,0.052,0.05,0.021,0.022,0.042,0.058,0.032,0.024,0.015,0.03,0.06,0.106,0.027
1,B1_1,0.104,0.045,0.08,0.058,0.039,0.098,0.042,0.061,0.049,0.063,0.093,0.035,0.018,0.082,0.081,0.052
1,B1_2,0.354,0.055,0.023,0.051,0.04,0.016,0.042,0.072,0.018,0.042,0.03,0.029,0.024,0.064,0.102,0.038
1,B1_3,0.1,0.082,0.04,0.056,0.047,0.053,0.051,0.058,0.05,0.056,0.054,0.045,0.025,0.042,0.139,0.1
1,A2_1,0.27,0.05,0.032,0.05,0.09,0.03,0.047,0.049,0.027,0.065,0.044,0.016,0.013,0.085,0.103,0.028
1,A2_2,0.139,0.042,0.015,0.056,0.094,0.048,0.044,0.029,0.113,0.086,0.022,0.052,0.011,0.05,0.117,0.083
1,A2_3,0.237,0.012,0.066,0.039,0.069,0.029,0.064,0.055,0.057,0.028,0.021,0.012,0.028,0.054,0.156,0.074
1,B2_1,0.078,0.037,0.04,0.046,0.133,0.057,0.062,0.068,0.126,0.052,0.033,0.081,0.055,0.034,0.042,0.054
1,B2_2,0.334,0.023,0.085,0.045,0.056,0.037,0.017,0.078,0.035,0.016,0.021,0.01,0.034,0.094,0.051,0.064
1,B2_3,0.087,0.05,0.035,0.065,0.083,0.043,0.052,0.102,0.047,0.104,0.063,0.038,0.028,0.098,0.065,0.042
1,y1,0.346,0.039,0.038,0.058,0.075,0.027,0.008,0.076,0.028,0.01,0.017,0.016,0.025,0.078,0.028,0.13
1,y2,0.087,0.032,0.032,0.035,0.063,0.015,0.061,0.156,0.032,0.108,0.063,0.049,0.039,0.088,0.115,0.024
1,y3,0.189,0.071,0.043,0.071,0.131,0.045,0.017,0.066,0.043,0.026,0.026,0.025,0.012,0.05,0.044,0.143
2,.,0.078,0.075,0.056,0.077,0.056,0.055,0.04,0.039,0.054,0.059,0.076,0.04,0.042,0.06,0.064,0.128
2,A1_1,0.213,0.02,0.039,0.055,0.068,0.043,0.048,0.06,0.041,0.054,0.046,0.033,0.021,0.075,0.131,0.051
2,A1_2,0.044,0.123,0.111,0.1,0.017,0.132,0.031,0.032,0.037,0.06,0.076,0.025,0.032,0.062,0.069,0.049
2,A1_3,0.441,0.039,0.028,0.037,0.042,0.02,0.021,0.027,0.045,0.025,0.021,0.013,0.031,0.059,0.108,0.044
2,B1_1,0.151,0.037,0.084,0.045,0.033,0.102,0.047,0.056,0.049,0.052,0.08,0.041,0.021,0.069,0.075,0.057
2,B1_2,0.493,0.049,0.018,0.034,0.024,0.016,0.03,0.04,0.015,0.029,0.018,0.022,0.021,0.051,0.079,0.061
2,B1_3,0.143,0.076,0.047,0.045,0.031,0.06,0.052,0.047,0.044,0.048,0.049,0.045,0.031,0.044,0.101,0.14
2,A2_1,0.45,0.047,0.03,0.032,0.049,0.034,0.031,0.029,0.025,0.036,0.03,0.013,0.013,0.072,0.067,0.042
2,A2_2,0.315,0.039,0.019,0.043,0.062,0.044,0.032,0.027,0.088,0.045,0.016,0.039,0.015,0.051,0.09,0.075
2,A2_3,0.308,0.019,0.059,0.029,0.048,0.039,0.043,0.035,0.045,0.024,0.021,0.011,0.025,0.056,0.126,0.112
2,B2_1,0.259,0.034,0.038,0.037,0.078,0.042,0.046,0.07,0.075,0.035,0.023,0.057,0.057,0.046,0.052,0.05
2,B2_2,0.376,0.028,0.066,0.041,0.049,0.063,0.016,0.055,0.036,0.016,0.021,0.013,0.033,0.063,0.043,0.081
2,B2_3,0.324,0.031,0.041,0.037,0.043,0.035,0.035,0.085,0.03,0.047,0.035,0.021,0.023,0.114,0.054,0.045
2,y1,0.355,0.035,0.032,0.042,0.064,0.048,0.009,0.062,0.033,0.013,0.017,0.024,0.028,0.057,0.027,0.153
2,y2,0.309,0.03,0.031,0.027,0.035,0.021,0.036,0.104,0.024,0.05,0.041,0.025,0.037,0.086,0.093,0.05
2,y3,0.245,0.054,0.035,0.053,0.083,0.051,0.024,0.059,0.036,0.032,0.036,0.035,0.017,0.053,0.046,0.139
3,.,0.074,0.077,0.059,0.077,0.054,0.056,0.041,0.038,0.057,0.062,0.076,0.041,0.043,0.062,0.064,0.121
3,A1_1,0.189,0.02,0.04,0.054,0.064,0.044,0.048,0.054,0.041,0.056,0.047,0.034,0.022,0.084,0.147,0.056
