,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
1,.,0.079,0.059,0.059,0.06,0.063,0.063,0.061,0.063,0.058,0.062,0.06,0.063,0.061,0.062,0.066,0.061
1,A1_1,0.079,0.059,0.06,0.059,0.061,0.063,0.061,0.065,0.061,0.063,0.058,0.065,0.062,0.062,0.062,0.062
1,A1_2,0.077,0.056,0.059,0.058,0.065,0.064,0.061,0.063,0.058,0.064,0.06,0.064,0.06,0.063,0.067,0.061
1,A1_3,0.083,0.059,0.059,0.057,0.065,0.064,0.06,0.066,0.056,0.064,0.062,0.062,0.059,0.061,0.066,0.058
1,B1_1,0.079,0.055,0.06,0.057,0.063,0.063,0.06,0.062,0.056,0.067,0.062,0.064,0.06,0.064,0.068,0.06
1,B1_2,0.08,0.057,0.061,0.056,0.064,0.063,0.06,0.066,0.054,0.066,0.061,0.065,0.06,0.065,0.065,0.059
1,B1_3,0.08,0.056,0.059,0.056,0.063,0.063,0.06,0.066,0.055,0.065,0.061,0.064,0.061,0.065,0.065,0.061
1,A2_1,0.082,0.056,0.059,0.056,0.068,0.066,0.06,0.066,0.054,0.066,0.062,0.062,0.057,0.061,0.068,0.055
1,A2_2,0.084,0.059,0.061,0.054,0.065,0.064,0.059,0.068,0.053,0.064,0.064,0.062,0.057,0.063,0.065,0.058
1,A2_3,0.086,0.056,0.057,0.054,0.07,0.065,0.06,0.067,0.052,0.062,0.064,0.062,0.058,0.06,0.069,0.057
1,B2_1,0.081,0.058,0.063,0.055,0.063,0.065,0.058,0.066,0.054,0.063,0.064,0.063,0.057,0.065,0.066,0.059
1,B2_2,0.083,0.06,0.062,0.054,0.063,0.063,0.058,0.069,0.054,0.063,0.064,0.063,0.059,0.064,0.064,0.058
1,B2_3,0.081,0.056,0.061,0.054,0.066,0.064,0.06,0.068,0.055,0.065,0.063,0.063,0.059,0.064,0.065,0.058
1,y1,0.085,0.056,0.058,0.054,0.069,0.065,0.061,0.07,0.057,0.059,0.061,0.062,0.062,0.059,0.065,0.056
1,y2,0.086,0.056,0.056,0.055,0.072,0.066,0.061,0.068,0.055,0.06,0.062,0.061,0.06,0.059,0.069,0.056
1,y3,0.087,0.06,0.06,0.053,0.065,0.065,0.059,0.071,0.054,0.062,0.065,0.061,0.056,0.06,0.064,0.056
2,.,0.096,0.057,0.057,0.058,0.061,0.061,0.059,0.06,0.057,0.06,0.058,0.062,0.059,0.063,0.067,0.063
2,A1_1,0.097,0.057,0.058,0.057,0.058,0.061,0.059,0.063,0.059,0.061,0.056,0.063,0.061,0.063,0.063,0.064
2,A1_2,0.095,0.054,0.058,0.057,0.062,0.061,0.059,0.061,0.057,0.062,0.058,0.062,0.058,0.064,0.069,0.063
2,A1_3,0.103,0.057,0.058,0.056,0.063,0.061,0.058,0.064,0.054,0.062,0.06,0.06,0.057,0.062,0.067,0.06
2,B1_1,0.098,0.054,0.059,0.056,0.06,0.061,0.058,0.06,0.054,0.064,0.06,0.062,0.058,0.065,0.069,0.062
2,B1_2,0.1,0.055,0.059,0.054,0.061,0.061,0.057,0.063,0.052,0.063,0.059,0.062,0.058,0.066,0.066,0.061
2,B1_3,0.1,0.054,0.057,0.054,0.061,0.06,0.058,0.063,0.054,0.063,0.059,0.062,0.06,0.066,0.066,0.063
2,A2_1,0.103,0.054,0.057,0.055,0.065,0.064,0.058,0.064,0.052,0.063,0.06,0.06,0.056,0.062,0.069,0.057
2,A2_2,0.106,0.057,0.059,0.053,0.062,0.061,0.057,0.065,0.051,0.062,0.062,0.06,0.055,0.064,0.066,0.06
2,A2_3,0.107,0.054,0.056,0.053,0.067,0.062,0.058,0.064,0.051,0.06,0.062,0.06,0.056,0.062,0.071,0.059
2,B2_1,0.101,0.056,0.061,0.054,0.06,0.062,0.056,0.063,0.053,0.061,0.062,0.061,0.056,0.066,0.067,0.061
2,B2_2,0.104,0.057,0.06,0.052,0.061,0.061,0.056,0.066,0.052,0.061,0.062,0.061,0.057,0.066,0.065,0.06
2,B2_3,0.101,0.054,0.06,0.052,0.063,0.062,0.058,0.065,0.053,0.063,0.061,0.061,0.057,0.065,0.066,0.06
2,y1,0.106,0.054,0.056,0.053,0.066,0.063,0.059,0.067,0.055,0.057,0.06,0.06,0.06,0.061,0.066,0.058
2,y2,0.107,0.053,0.054,0.054,0.069,0.064,0.059,0.065,0.053,0.057,0.06,0.059,0.058,0.06,0.07,0.058
2,y3,0.109,0.058,0.058,0.052,0.062,0.063,0.057,0.068,0.053,0.06,0.063,0.059,0.055,0.062,0.065,0.058
3,.,0.114,0.056,0.055,0.057,0.059,0.059,0.057,0.058,0.056,0.058,0.056,0.06,0.058,0.064,0.068,0.064
3,A1_1,0.116,0.055,0.056,0.056,0.056,0.059,0.057,0.061,0.058,0.058,0.055,0.061,0.059,0.064,0.064,0.065
3,A1_2,0.114,0.053,0.056,0.055,0.06,0.059,0.057,0.059,0.055,0.06,0.057,0.06,0.057,0.066,0.07,0.065
3,A1_3,0.124,0.055,0.055,0.054,0.06,0.059,0.056,0.061,0.052,0.059,0.058,0.058,0.055,0.063,0.068,0.061
3,B1_1,0.118,0.052,0.056,0.054,0.058,0.058,0.056,0.058,0.053,0.062,0.058,0.06,0.056,0.066,0.07,0.064
3,B1_2,0.121,0.053,0.057,0.052,0.059,0.059,0.055,0.061,0.051,0.061,0.057,0.06,0.056,0.068,0.067,0.063
3,B1_3,0.121,0.053,0.055,0.052,0.058,0.058,0.056,0.061,0.052,0.06,0.057,0.06,0.058,0.068,0.066,0.064
3,A2_1,0.125,0.053,0.055,0.053,0.063,0.061,0.056,0.061,0.051,0.06,0.058,0.058,0.054,0.064,0.07,0.059
3,A2_2,0.128,0.055,0.056,0.051,0.059,0.059,0.055,0.063,0.05,0.059,0.06,0.058,0.053,0.066,0.067,0.061
3,A2_3,0.129,0.052,0.053,0.051,0.064,0.06,0.055,0.062,0.049,0.057,0.06,0.058,0.054,0.063,0.071,0.061
3,B2_1,0.122,0.054,0.059,0.052,0.058,0.06,0.054,0.061,0.051,0.058,0.06,0.059,0.054,0.068,0.068,0.063
3,B2_2,0.126,0.056,0.057,0.051,0.058,0.059,0.054,0.063,0.05,0.058,0.06,0.059,0.055,0.067,0.065,0.062
3,B2_3,0.123,0.052,0.057,0.051,0.06,0.059,0.056,0.063,0.051,0.06,0.059,0.058,0.055,0.066,0.067,0.062
3,y1,0.128,0.052,0.054,0.051,0.063,0.06,0.057,0.064,0.053,0.055,0.058,0.057,0.058,0.062,0.067,0.06
3,y2,0.129,0.052,0.052,0.052,0.066,0.061,0.057,0.063,0.052,0.055,0.058,0.057,0.056,0.061,0.071,0.06
3,y3,0.132,0.056,0.056,0.05,0.06,0.06,0.055,0.065,0.051,0.057,0.061,0.056,0.053,0.063,0.066,0.059
4,.,0.131,0.055,0.054,0.055,0.057,0.057,0.055,0.056,0.055,0.057,0.054,0.058,0.056,0.065,0.069,0.065
4,A1_1,0.134,0.054,0.055,0.054,0.054,0.057,0.056,0.059,0.056,0.057,0.053,0.059,0.057,0.065,0.065,0.066
4,A1_2,0.132,0.051,0.054,0.053,0.057,0.057,0.055,0.057,0.054,0.058,0.055,0.058,0.055,0.067,0.07,0.066
4,A1_3,0.144,0.054,0.053,0.052,0.057,0.057,0.054,0.059,0.051,0.057,0.056,0.056,0.053,0.065,0.069,0.063
4,B1_1,0.138,0.051,0.055,0.053,0.055,0.056,0.054,0.056,0.051,0.06,0.056,0.058,0.054,0.068,0.07,0.065
4,B1_2,0.142,0.052,0.055,0.05,0.056,0.056,0.053,0.059,0.049,0.058,0.056,0.058,0.054,0.069,0.067,0.064
4,B1_3,0.141,0.051,0.054,0.05,0.056,0.056,0.054,0.059,0.051,0.058,0.056,0.058,0.056,0.069,0.067,0.065
4,A2_1,0.146,0.051,0.053,0.051,0.06,0.059,0.054,0.059,0.049,0.058,0.056,0.056,0.052,0.065,0.071,0.06
4,A2_2,0.15,0.054,0.054,0.049,0.057,0.057,0.053,0.06,0.048,0.057,0.058,0.056,0.052,0.067,0.067,0.062
4,A2_3,0.151,0.051,0.052,0.049,0.061,0.057,0.053,0.059,0.048,0.055,0.058,0.056,0.052,0.064,0.072,0.062
4,B2_1,0.143,0.053,0.057,0.05,0.055,0.057,0.052,0.059,0.05,0.056,0.058,0.057,0.052,0.069,0.068,0.064
4,B2_2,0.147,0.054,0.055,0.048,0.055,0.056,0.052,0.061,0.049,0.056,0.058,0.056,0.053,0.068,0.066,0.063
4,B2_3,0.144,0.05,0.055,0.049,0.058,0.057,0.054,0.06,0.05,0.057,0.057,0.056,0.053,0.068,0.067,0.063
4,y1,0.149,0.051,0.052,0.049,0.061,0.058,0.055,0.062,0.052,0.052,0.056,0.056,0.057,0.063,0.067,0.061
4,y2,0.15,0.05,0.05,0.05,0.063,0.059,0.055,0.06,0.05,0.053,0.056,0.055,0.054,0.062,0.072,0.061
4,y3,0.155,0.054,0.054,0.048,0.057,0.058,0.053,0.062,0.049,0.055,0.059,0.054,0.051,0.064,0.066,0.06
5,.,0.146,0.053,0.053,0.054,0.055,0.055,0.054,0.055,0.054,0.055,0.053,0.056,0.055,0.066,0.069,0.067
5,A1_1,0.151,0.052,0.053,0.053,0.053,0.055,0.054,0.057,0.055,0.055,0.052,0.057,0.056,0.066,0.065,0.067
5,A1_2,0.149,0.05,0.052,0.052,0.055,0.055,0.054,0.055,0.053,0.056,0.053,0.056,0.053,0.068,0.071,0.067
5,A1_3,0.163,0.052,0.052,0.051,0.055,0.055,0.052,0.057,0.05,0.055,0.055,0.054,0.052,0.065,0.069,0.064
5,B1_1,0.156,0.049,0.053,0.051,0.053,0.054,0.052,0.054,0.05,0.058,0.055,0.056,0.053,0.068,0.071,0.067
5,B1_2,0.162,0.05,0.053,0.049,0.054,0.054,0.052,0.057,0.048,0.056,0.054,0.056,0.053,0.07,0.068,0.065
5,B1_3,0.16,0.049,0.052,0.049,0.054,0.054,0.052,0.057,0.049,0.056,0.054,0.056,0.054,0.07,0.067,0.067
5,A2_1,0.166,0.049,0.051,0.05,0.057,0.057,0.052,0.057,0.048,0.056,0.054,0.054,0.05,0.066,0.071,0.062
5,A2_2,0.171,0.051,0.053,0.047,0.054,0.054,0.051,0.058,0.047,0.054,0.057,0.054,0.05,0.067,0.068,0.064
5,A2_3,0.172,0.049,0.05,0.048,0.058,0.055,0.052,0.057,0.046,0.053,0.056,0.054,0.051,0.065,0.072,0.063
5,B2_1,0.163,0.051,0.055,0.049,0.053,0.055,0.05,0.057,0.049,0.054,0.056,0.055,0.05,0.07,0.069,0.065
5,B2_2,0.168,0.052,0.054,0.047,0.053,0.054,0.051,0.059,0.047,0.054,0.056,0.055,0.052,0.069,0.066,0.064
5,B2_3,0.165,0.048,0.054,0.047,0.056,0.055,0.052,0.058,0.048,0.055,0.056,0.055,0.052,0.068,0.068,0.064
5,y1,0.169,0.049,0.05,0.047,0.059,0.056,0.054,0.06,0.05,0.05,0.054,0.054,0.055,0.063,0.068,0.062
5,y2,0.17,0.048,0.048,0.048,0.06,0.057,0.053,0.058,0.049,0.051,0.054,0.053,0.052,0.063,0.072,0.062
5,y3,0.176,0.052,0.052,0.047,0.055,0.056,0.051,0.06,0.048,0.053,0.057,0.053,0.05,0.064,0.067,0.062
6,.,0.16,0.052,0.051,0.053,0.053,0.054,0.053,0.053,0.053,0.053,0.051,0.055,0.053,0.067,0.07,0.068
6,A1_1,0.165,0.051,0.052,0.051,0.051,0.054,0.053,0.055,0.054,0.053,0.05,0.056,0.054,0.067,0.066,0.068
6,A1_2,0.164,0.048,0.051,0.051,0.054,0.054,0.052,0.053,0.051,0.054,0.052,0.055,0.052,0.069,0.072,0.068
6,A1_3,0.18,0.05,0.05,0.049,0.053,0.053,0.05,0.055,0.048,0.053,0.053,0.053,0.05,0.066,0.07,0.065
6,B1_1,0.172,0.048,0.052,0.05,0.051,0.052,0.051,0.052,0.049,0.056,0.053,0.054,0.051,0.069,0.071,0.068
6,B1_2,0.179,0.049,0.052,0.048,0.052,0.052,0.05,0.055,0.047,0.054,0.052,0.054,0.051,0.071,0.068,0.066
6,B1_3,0.178,0.048,0.05,0.047,0.052,0.052,0.051,0.055,0.048,0.054,0.053,0.054,0.053,0.07,0.068,0.067
6,A2_1,0.184,0.048,0.05,0.048,0.055,0.055,0.05,0.055,0.046,0.054,0.053,0.053,0.049,0.066,0.072,0.063
6,A2_2,0.19,0.05,0.051,0.046,0.052,0.053,0.049,0.056,0.045,0.052,0.055,0.052,0.048,0.068,0.068,0.064
6,A2_3,0.19,0.048,0.049,0.046,0.056,0.053,0.05,0.055,0.045,0.051,0.054,0.052,0.049,0.066,0.073,0.064
6,B2_1,0.18,0.049,0.053,0.047,0.051,0.053,0.049,0.055,0.047,0.052,0.054,0.054,0.049,0.071,0.07,0.066
6,B2_2,0.186,0.05,0.052,0.046,0.051,0.052,0.049,0.057,0.046,0.051,0.055,0.053,0.05,0.07,0.067,0.065
6,B2_3,0.183,0.047,0.052,0.046,0.054,0.053,0.05,0.056,0.047,0.053,0.054,0.053,0.05,0.069,0.068,0.065
6,y1,0.187,0.047,0.049,0.046,0.057,0.054,0.052,0.058,0.049,0.048,0.053,0.052,0.054,0.064,0.068,0.063
6,y2,0.188,0.047,0.047,0.047,0.058,0.055,0.051,0.056,0.047,0.048,0.053,0.052,0.051,0.064,0.072,0.063
6,y3,0.195,0.05,0.05,0.045,0.053,0.054,0.049,0.058,0.047,0.05,0.055,0.051,0.048,0.065,0.067,0.062
7,.,0.171,0.051,0.05,0.053,0.052,0.052,0.052,0.052,0.052,0.052,0.05,0.054,0.052,0.068,0.07,0.069
7,A1_1,0.178,0.05,0.051,0.051,0.05,0.052,0.051,0.054,0.053,0.052,0.049,0.054,0.053,0.068,0.066,0.069
7,A1_2,0.177,0.047,0.05,0.05,0.052,0.052,0.051,0.052,0.05,0.053,0.051,0.053,0.051,0.069,0.072,0.07
