,,.,A1_1,A1_2,A1_3,B1_1,B1_2,B1_3,A2_1,A2_2,A2_3,B2_1,B2_2,B2_3,y1,y2,y3
3,B2_3,0.033,0.004,0.003,0.007,0.005,0.003,0.003,0.123,0.28,0.344,0.001,0.001,0.006,0.028,0.106,0.053
3,y1,0.343,0.058,0.04,0.032,0.065,0.049,0.072,0.035,0.026,0.058,0.032,0.048,0.028,0.034,0.041,0.037
3,y2,0.413,0.036,0.039,0.026,0.051,0.056,0.05,0.033,0.017,0.048,0.044,0.07,0.041,0.022,0.028,0.027
3,y3,0.219,0.025,0.032,0.016,0.029,0.023,0.019,0.051,0.039,0.115,0.1,0.206,0.049,0.011,0.028,0.039
4,.,0.078,0.04,0.033,0.048,0.042,0.062,0.088,0.024,0.044,0.034,0.033,0.024,0.036,0.138,0.15,0.128
4,A1_1,0.324,0.006,0.009,0.012,0.039,0.166,0.118,0.011,0.01,0.012,0.035,0.006,0.013,0.063,0.125,0.05
4,A1_2,0.163,0.007,0.005,0.005,0.225,0.138,0.273,0.008,0.003,0.01,0.009,0.008,0.003,0.052,0.062,0.029
4,A1_3,0.113,0.003,0.006,0.005,0.354,0.231,0.185,0.007,0.005,0.011,0.004,0.006,0.006,0.021,0.026,0.017
4,B1_1,0.243,0.045,0.185,0.129,0.01,0.011,0.013,0.016,0.01,0.005,0.018,0.008,0.023,0.05,0.169,0.064
4,B1_2,0.293,0.098,0.068,0.173,0.011,0.009,0.021,0.043,0.016,0.013,0.018,0.011,0.017,0.047,0.11,0.053
4,B1_3,0.323,0.062,0.066,0.036,0.026,0.012,0.024,0.02,0.008,0.007,0.027,0.025,0.018,0.107,0.16,0.078
4,A2_1,0.336,0.006,0.024,0.014,0.03,0.038,0.019,0.03,0.007,0.013,0.065,0.102,0.122,0.072,0.047,0.073
4,A2_2,0.241,0.007,0.018,0.015,0.001,0.012,0.006,0.01,0.01,0.007,0.241,0.05,0.124,0.087,0.081,0.09
4,A2_3,0.22,0.012,0.016,0.01,0.008,0.012,0.015,0.009,0.008,0.013,0.177,0.217,0.134,0.062,0.027,0.058
4,B2_1,0.303,0.006,0.006,0.007,0.01,0.018,0.016,0.083,0.119,0.055,0.02,0.012,0.018,0.126,0.085,0.115
